=== Command: top -b -n1

top - 01:56:26 up  6:58,  3 users,  load average: 0.00, 0.05, 0.14
Tasks: 223 total,   1 running, 222 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  2.2 sy,  0.0 ni, 97.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15869.9 total,   4585.8 free,   3581.9 used,   8072.4 buff/cache     
MiB Swap:   4096.0 total,   4095.2 free,      0.8 used.  12288.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2224 azizelo   20   0     860    384    384 S   0.0   0.0   0:01.55 tini
   2347 root      20   0 1673252   4352   3456 S   0.0   0.0   0:00.04 docker-+
   2354 root      20   0 1599008   4480   3584 S   0.0   0.0   0:00.05 docker-+
   2364 root      20   0 1746728   4608   3584 S   0.0   0.0   0:00.04 docker-+
   2372 root      20   0 1673252   4608   3584 S   0.0   0.0   0:00.05 docker-+
   2381 root      20   0 1746984   4608   3584 S   0.0   0.0   0:00.05 docker-+
   2390 root      20   0 1894448   4992   3712 S   0.0   0.0   0:00.04 docker-+
   2433 root      20   0 1673252   4736   3712 S   0.0   0.0   0:00.05 docker-+
   2445 root      20   0 1746984   4480   3456 S   0.0   0.0   0:00.05 docker-+
   2477 root      20   0 1820716   4480   3456 S   0.0   0.0   0:00.04 docker-+
   2485 root      20   0 1746728   4480   3584 S   0.0   0.0   0:00.04 docker-+
   2513 root      20   0 1672996   4480   3584 S   0.0   0.0   0:00.04 docker-+
   2520 root      20   0 1673252   4352   3456 S   0.0   0.0   0:00.04 docker-+
   2552 root      20   0 1599520   4480   3584 S   0.0   0.0   0:00.04 docker-+
   2559 root      20   0 1673252   4480   3584 S   0.0   0.0   0:00.04 docker-+
   2581 root      20   0 1746984   4864   3584 S   0.0   0.0   0:00.12 docker-+
   2587 root      20   0 1746984   4352   3456 S   0.0   0.0   0:00.05 docker-+
   2597 azizelo   20   0   21.4g 277360  67456 S   0.0   1.7   1:38.97 node
   2615 root      20   0 1024016 152352  47232 S   0.0   0.9   5:14.04 node
   2654 root      20   0     220      0      0 S   0.0   0.0   0:00.00 s6-supe+
   2657 root      20   0     208      0      0 S   0.0   0.0   0:00.00 s6-linu+
